tenant_id,look_up_code,look_up_type,meaning,description,enable_flag,active_start_date,active_end_date,secure_attribute_1,secure_attribute_2,secure_attribute_3,created_by,creation_date,last_updated_by,last_updated_date
20,APPROVED,APPROVAL_STATUS,Approved,Approved,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
20,REJECTED,APPROVAL_STATUS,Rejected,Rejected,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
20,IN_PROCESS,APPROVAL_STATUS,InProcess,InProcess,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
21,RECONCILIATION,APPROVAL_MODULE,Reconciliation,Reconciliation,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
21,ACCOUNTING,APPROVAL_MODULE,Accounting,Accounting,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
21,APPROVED,APPROVAL_STATUS,Approved,Approved,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
21,REJECTED,APPROVAL_STATUS,Rejected,Rejected,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
21,IN_PROCESS,APPROVAL_STATUS,InProcess,InProcess,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
22,RECONCILIATION,APPROVAL_MODULE,Reconciliation,Reconciliation,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
22,ACCOUNTING,APPROVAL_MODULE,Accounting,Accounting,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
22,APPROVED,APPROVAL_STATUS,Approved,Approved,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
22,REJECTED,APPROVAL_STATUS,Rejected,Rejected,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
22,IN_PROCESS,APPROVAL_STATUS,InProcess,InProcess,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
23,RECONCILIATION,APPROVAL_MODULE,Reconciliation,Reconciliation,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
23,ACCOUNTING,APPROVAL_MODULE,Accounting,Accounting,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
23,APPROVED,APPROVAL_STATUS,Approved,Approved,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
23,REJECTED,APPROVAL_STATUS,Rejected,Rejected,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
23,IN_PROCESS,APPROVAL_STATUS,InProcess,InProcess,true,2017-01-01,2020-01-01,null,null,null,null,null,null,null
