tenant_id,look_up_code,look_up_type,meaning,description,enable_flag,active_start_date,active_end_date,secure_attribute_1,secure_attribute_2,secure_attribute_3,created_by,creation_date,last_updated_by,last_updated_date
18,CONCAT_WS,TEMPLATE_FUNCTIONS,Concat Ws,"concat_ws('separator',[column1],[column2])",1,2017-01-01,2020-01-01,null,null,null,null,null,null,null
18,REPLACE,TEMPLATE_FUNCTIONS,Replace,"REPLACE([column1],'find_string','replace_with')",1,2017-01-01,2020-01-01,null,null,null,null,null,null,null
18,TRIM,TEMPLATE_FUNCTIONS,Trim,"trim(LEADING or TRAILING or BOTH character From [column1])",1,2017-01-01,2020-01-01,null,null,null,null,null,null,null
18,MIDSEARCH,TEMPLATE_FUNCTIONS,midsearch,"SUBSTR([column1],(LOCATE('char',[column1]) + LENGTH('char')),position)",TRUE,2017-01-01,2020-01-01,null,null,null,null,null,null,null
19,CONCAT,TEMPLATE_FUNCTIONS,Concat,"concat([column1],[column2],...)",1,2017-01-01,2020-01-01,null,null,null,null,null,null,null
19,SUBSTR,TEMPLATE_FUNCTIONS,SubStr,"SUBSTRING([column1],pos,len)",1,2017-01-01,2020-01-01,null,null,null,null,null,null,null
19,CONCAT_WS,TEMPLATE_FUNCTIONS,Concat Ws,"concat_ws('separator',[column1],[column2])",1,2017-01-01,2020-01-01,null,null,null,null,null,null,null
19,REPLACE,TEMPLATE_FUNCTIONS,Replace,"REPLACE([column1],'find_string','replace_with')",1,2017-01-01,2020-01-01,null,null,null,null,null,null,null
19,TRIM,TEMPLATE_FUNCTIONS,Trim,"trim(LEADING or TRAILING or BOTH character From [column1])",1,2017-01-01,2020-01-01,null,null,null,null,null,null,null
19,MIDSEARCH,TEMPLATE_FUNCTIONS,midsearch,"SUBSTR([column1],(LOCATE('char',[column1]) + LENGTH('char')),position)",TRUE,2017-01-01,2020-01-01,null,null,null,null,null,null,null
20,CONCAT,TEMPLATE_FUNCTIONS,Concat,"concat([column1],[column2],...)",1,2017-01-01,2020-01-01,null,null,null,null,null,null,null
20,SUBSTR,TEMPLATE_FUNCTIONS,SubStr,"SUBSTRING([column1],pos,len)",1,2017-01-01,2020-01-01,null,null,null,null,null,null,null
20,CONCAT_WS,TEMPLATE_FUNCTIONS,Concat Ws,"concat_ws('separator',[column1],[column2])",1,2017-01-01,2020-01-01,null,null,null,null,null,null,null
20,REPLACE,TEMPLATE_FUNCTIONS,Replace,"REPLACE([column1],'find_string','replace_with')",1,2017-01-01,2020-01-01,null,null,null,null,null,null,null
20,TRIM,TEMPLATE_FUNCTIONS,Trim,"trim(LEADING or TRAILING or BOTH character From [column1])",1,2017-01-01,2020-01-01,null,null,null,null,null,null,null
20,MIDSEARCH,TEMPLATE_FUNCTIONS,midsearch,"SUBSTR([column1],(LOCATE('char',[column1]) + LENGTH('char')),position)",TRUE,2017-01-01,2020-01-01,null,null,null,null,null,null,null
21,CONCAT,TEMPLATE_FUNCTIONS,Concat,"concat([column1],[column2],...)",1,2017-01-01,2020-01-01,null,null,null,null,null,null,null
21,SUBSTR,TEMPLATE_FUNCTIONS,SubStr,"SUBSTRING([column1],pos,len)",1,2017-01-01,2020-01-01,null,null,null,null,null,null,null
21,CONCAT_WS,TEMPLATE_FUNCTIONS,Concat Ws,"concat_ws('separator',[column1],[column2])",1,2017-01-01,2020-01-01,null,null,null,null,null,null,null
21,REPLACE,TEMPLATE_FUNCTIONS,Replace,"REPLACE([column1],'find_string','replace_with')",1,2017-01-01,2020-01-01,null,null,null,null,null,null,null
21,TRIM,TEMPLATE_FUNCTIONS,Trim,"trim(LEADING or TRAILING or BOTH character From [column1])",1,2017-01-01,2020-01-01,null,null,null,null,null,null,null
21,MIDSEARCH,TEMPLATE_FUNCTIONS,midsearch,"SUBSTR([column1],(LOCATE('char',[column1]) + LENGTH('char')),position)",TRUE,2017-01-01,2020-01-01,null,null,null,null,null,null,null
22,CONCAT,TEMPLATE_FUNCTIONS,Concat,"concat([column1],[column2],...)",1,2017-01-01,2020-01-01,null,null,null,null,null,null,null
22,SUBSTR,TEMPLATE_FUNCTIONS,SubStr,"SUBSTRING([column1],pos,len)",1,2017-01-01,2020-01-01,null,null,null,null,null,null,null
22,CONCAT_WS,TEMPLATE_FUNCTIONS,Concat Ws,"concat_ws('separator',[column1],[column2])",1,2017-01-01,2020-01-01,null,null,null,null,null,null,null
22,REPLACE,TEMPLATE_FUNCTIONS,Replace,"REPLACE([column1],'find_string','replace_with')",1,2017-01-01,2020-01-01,null,null,null,null,null,null,null
22,TRIM,TEMPLATE_FUNCTIONS,Trim,"trim(LEADING or TRAILING or BOTH character From [column1])",1,2017-01-01,2020-01-01,null,null,null,null,null,null,null
22,MIDSEARCH,TEMPLATE_FUNCTIONS,midsearch,"SUBSTR([column1],(LOCATE('char',[column1]) + LENGTH('char')),position)",TRUE,2017-01-01,2020-01-01,null,null,null,null,null,null,null








